route_id,route_name
0100000A00,0東
0100000B00,0南
0463003000,汐止-台北101
0463005400,三重-內科
0463009500,三峽-中和高中
0463002600,三峽-內科
0463000300,三峽-捷運台大醫院站
0463000400,三峽-捷運永寧站
0463004000,三峽-捷運府中站
0463004500,三峽-臺北市信義區
0463003600,土城金城路-樹林大安路
0463008500,土城-南天母廣場
0463007700,中和左岸社區-捷運頂溪站
0463007500,中和自立路-新店
0463004600,中和-新北板橋公車站
0463007900,中和環河西路-永和仁愛路
0463003100,五股-內湖科技園區
0463009100,北大社區-捷運頂埔站
0463005200,台北小城-大坪林
0463005100,石門-捷運紅樹林站
0463009400,石碇高中-捷運忠孝復興站
0463009600,合宜住宅-捷運亞東醫院站
0463001600,林口(文化三路)-捷運圓山站
0463008200,林口(文化北路)-捷運圓山站
0463000800,林口-內湖科技園區
0463001300,林口-板橋
0463005000,林口-捷運府中站
0463007300,林口-捷運忠孝敦化站
0463000500,林口-捷運圓山站
0463007200,林口-臺北車站(承德)
0463003200,林口-臺北長庚醫院
0463008700,政大附中-捷運景美站
0463001000,泰山-內湖
0463006100,泰山-內湖(直達)
0463007400,捷運七張站-全球工業區
0463008600,捷運中和站-政大附中
0463009200,捷運忠孝復興站-三峽
0463008000,捷運頂溪站-捷運頂埔站
0463003300,捷運景安站-三峽臺北大學
0463009000,捷運新店站-坪林
0463003400,捷運蘆洲站-內湖科技園區
0463001100,淡水-內湖科技園區
0463001800,淡水新市鎮-板橋
0463006800,湯泉-十四張-大坪林
0463003900,湯泉-大坪林-湯泉
0463006300,湯泉-崇光中學
0463006700,新店(綠中海)-捷運新店站
0463003500,新店北新路-政大一街
0463000900,新店-汐止
0463002000,新店高中-三峽
0463008900,瑞芳(經東碇路)-松山車站
0463002500,瑞芳-內科(北客)
0463002900,瑞芳-內科(基客)
0463002300,瑞芳-松山車站(北客)
0463002400,瑞芳-松山車站(基客)
0463008400,瑞芳-南港
0463005500,萬里-內湖科技園區
0463004400,樹林後火車站-海洋公園
0152005400,雙園巴士
0463007000,蘆洲-中正高中
0463004900,蘆洲中正路-士林中正路
0463006400,蘆洲-內湖
0463005700,蘆洲-南港
0463001400,鶯歌火車站-中正紀念堂
0463001500,鶯歌火車站-松山機場
0400017700,177瑞芳觀光公車
0162003400,臺北觀光巴士紅線
0162003500,臺北觀光巴士藍線
0100023250,232快
0100060550,605快
0100090200,902
0100090220,902區
0100090300,903
0100090500,905
0100090510,905副
0400090600,906
0100090700,907
0100090790,907通勤
0400090800,908
0400090870,908延
0400090900,909
0400091000,910
0100091200,912
0400091300,913
0100091500,915
0400091600,916
0400091700,917
0400091800,918
0400091900,919
0400092000,920
0400092010,920副
0400092080,920A
0400092100,921
0400092200,922
0400092300,923
0400092500,925
0400092580,925A
0400092700,927
0400092790,927經台北港
0400092800,928
0400093000,930
0400093070,930延
0400093200,932
0400093270,932繞國家教育研究院
0400093300,933
0400093500,935
0400093600,936
0400093680,936A
0400093700,937
0400093710,937副
0400093780,937A
0400093800,938
0400093900,939
0400093910,939副
0400094000,940
0400094100,941
0400094300,943
0400094500,945
0400094600,946
0400094610,946副
0400094700,947
0400094800,948
0100094900,949
0100095000,950
0400095100,951
0400095200,952
0400095300,953
0400095320,953區
0100095500,955
0100095700,957
0400096300,963
0400096500,965(台灣好行-九份金瓜石線)
0400096600,966
0400096610,966副
0400096680,966A
0400096700,967
0400096710,967副
